"6.05 Fractions, Decimals, and Percents I","6.05 Fracciones, decimales y porcentajes I",,,,,,,,,,,,,,,,,,,,,,
"Uses images to demonstrate ratios and asks student to determine corresponding fractions, percents, and decimals.","Usa imágenes para demostrar razones y le pide al estudiante que determine las fracciones, porcentajes y decimales correspondientes.",,,,,,,,,,,,,,,,,,,,,,
Number of Target Items,Número de elementos de destino,,,,,,,,,,,,,,,,,,,,,,
Total Number of Items,Número total de artículos,,,,,,,,,,,,,,,,,,,,,,
Unreduced Ratio,Proporción no reducida,,,,,,,,,,,,,,,,,,,,,,
Ratio Out of 100,Proporción de 100,,,,,,,,,,,,,,,,,,,,,,
Percent,Por ciento,,,,,,,,,,,,,,,,,,,,,,
Decimal,Decimal,,,,,,,,,,,,,,,,,,,,,,
Reduced Fraction,Fracción reducida,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Problem Name,Problem1,ProblemESP1,Problem Name,Problem2,ProblemESP2,Problem Name,Problem3,ProblemESP3,Problem Name,Problem4,ProblemESP4,Problem Name,Problem5,ProblemESP5,Problem Name,Problem6,ProblemESP6,Problem Name,Problem7,ProblemESP7,Problem Name,Problem8,ProblemESP8
%(-2088598916590095276)%,3/5,3/5,%(7928358009601503321)%,"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 5/100. The percent representation is just the numerator of this ratio, 5.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 5/100. La representación porcentual es solo el numerador de esta razón, 5.",%(7296043833065817)%,90,90,%(-6755631798678654148)%,(4) What percent of the shapes are squares?,(4) ¿Qué porcentaje de las formas son cuadrados?,%(-8272709451183661205)%,"When you divide a number by 10, you move the decimal point in that number over to the left one place. If it's a whole number, there is an 'invisible' decimal point to the right of it, like this: ""70.""","Cuando divide un número por 10, mueve el punto decimal en ese número hacia la izquierda un lugar. Si es un número entero, hay un punto decimal 'invisible' a la derecha, como este: ""70"".",%(6400038450057762)%,26,26,%(4350922609440676025)%,"Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.",Dividir por 100 equivale a dividir por 10 y luego volver a dividir por 10.,%(777209024751717135)%,"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 20/100. The percent representation is just the numerator of this ratio, 20.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 20/100. La representación porcentual es solo el numerador de esta razón, 20."
%(-7405816845283162644)%,"When you divide a number by 10, you move the decimal point in that number over to the left one place. If it's a whole number, there is an 'invisible' decimal point to the right of it, like this: ""5.""","Cuando divide un número por 10, mueve el punto decimal en ese número hacia la izquierda un lugar. Si es un número entero, hay un punto decimal 'invisible' a la derecha, como este: ""5"".",%(-7405816845283162644)%,"When you divide a number by 10, you move the decimal point in that number over to the left one place. If it's a whole number, there is an 'invisible' decimal point to the right of it, like this: ""5.""","Cuando divide un número por 10, mueve el punto decimal en ese número hacia la izquierda un lugar. Si es un número entero, hay un punto decimal 'invisible' a la derecha, como este: ""5"".",%(-349918041422470143)%,"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 5 and 50 without any remainder.",O intente encontrar el máximo factor común. Este es el mayor de todos los números que puede dividir tanto a 5 como a 50 sin ningún resto.,%(-2088598916590095276)%,3/5,3/5,%(4350922609440676025)%,"Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.",Dividir por 100 equivale a dividir por 10 y luego volver a dividir por 10.,%(7140071293237426416)%,7/20,7/20,%(5760034605052020)%,-1,-1,%(-3214654429107953118)%,40%,40%
%(5760034605052020)%,-1,-1,%(5760034605052020)%,-1,-1,%(4350922609440676025)%,"Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.",Dividir por 100 equivale a dividir por 10 y luego volver a dividir por 10.,%(4350922609440676025)%,"Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.",Dividir por 100 equivale a dividir por 10 y luego volver a dividir por 10.,%(5760034605052020)%,-1,-1,%(-4186234429666595486)%,"To turn 14/40 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore.","Para convertir 14/40 en una proporción reducida, simplifique la proporción tanto como sea posible hasta que ya no se pueda simplificar.",%(-962543404098237484)%,20%,20%,%(-1913625683704650596)%,"If the ratio out 100 is 80/100, the percent is its numerator, 80.","Si la relación de 100 es 80/100, el porcentaje es su numerador, 80."
%(-8918855353097040185)%,"Try entering <%=divEvaluate(fractionMake(1,20))%>.","Intente ingresar <% = divEvaluate (fracciónMake (1,20))%>.",%(-8918855353097040185)%,"Try entering <%=divEvaluate(fractionMake(1,20))%>.","Intente ingresar <% = divEvaluate (fractionMake (1,20))%>.",%(5760034605052020)%,-1,-1,%(5760034605052020)%,-1,-1,%(-7096053911971200598)%,"Do you know how to find an equivalent fraction of 1/10 that has denominator of 100? You already know the denominator. Then, what would be its numerator?","¿Sabes cómo encontrar una fracción equivalente de 1/10 que tiene un denominador de 100? Ya conoces el denominador. Entonces, ¿Cuál sería su numerador?",%(-5617538443833859644)%,"One way to find the numerator for the ratio out of 100 is to multiply the original numerator, 38, by 100 and then divide by the original denominator, 40.","Una forma de encontrar el numerador para la razón de 100 es multiplicar el numerador original, 38, por 100 y luego dividir por el denominador original, 40.",%(2057883072184751728)%,How many shapes in the picture above are not blue?,¿Cuántas formas en la imagen de arriba no son azules?,%(-6755631798678654148)%,(4) What percent of the shapes are squares?,(4) ¿Qué porcentaje de las formas son cuadrados?
%(1182274240005004743)%,How many shapes are red?,¿Cuántas formas son rojas?,%(2057883072184751728)%,How many shapes in the picture above are not blue?,¿Cuántas formas en la imagen de arriba no son azules?,%(-6857783079527314335)%,"Try entering <%=divEvaluate(fractionMake(25,50))%>.","Intente ingresar <% = divEvaluate (fracciónMake (25,50))%>.",%(6400038450057761)%,25,25,%(7045896600840224871)%,"Or, try finding the greatest common factor. This is the biggest of all numbers that can divide both 7 and 10 without any remainder.",O intente encontrar el máximo factor común. Este es el mayor de todos los números que puede dividir tanto a 7 como a 10 sin ningún resto.,%(-784386547590707370)%,"Try entering <%=divEvaluate(fractionMake(38,40))%>.","Intente ingresar <%=divEvaluate(fractionMake(38,40))%>.",%(4283198272230312352)%,How many shapes are squares?,¿Cuántas formas son cuadrados?,%(-2088598916590095276)%,3/5,3/5
%(2057883072184751728)%,How many shapes in the picture above are not blue?,¿Cuántas formas en la imagen de arriba no son azules?,%(8094380309792744773)%,Try entering 1/20.,Intente ingresar 1/20.,%(-3976390536107060670)%,How many shapes are not yellow?,¿Cuántas formas no son amarillas?,%(2057883072184751728)%,How many shapes in the picture above are not blue?,¿Cuántas formas en la imagen de arriba no son azules?,%(-7471988489927013492)%,How many pieces are blue squares?,¿Cuántas piezas son cuadrados azules?,%(4350922609440676025)%,"Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.",Dividir por 100 equivale a dividir por 10 y luego volver a dividir por 10.,%(7072076374832884833)%,(2) What percent of the shapes are purple?,(2) ¿Qué porcentaje de las formas son moradas?,%(4350922609440676025)%,"Dividing by 100 is equivalent to dividing by 10, then dividing by 10 again.",Dividir por 100 equivale a dividir por 10 y luego volver a dividir por 10.
%(4283198272230312352)%,How many shapes are squares?,¿Cuántas formas son cuadrados?,%(6497270100447420521)%,Enter as percent,Ingrese como porcentaje,%(5576005340578259531)%,"To turn 45/50 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore.","Para convertir 45/50 en una proporción reducida, simplifique la proporción tanto como sea posible hasta que no pueda simplificarse más.",%(4283198272230312352)%,How many shapes are squares?,¿Cuántas formas son cuadrados?,%(2057883072184751728)%,How many shapes in the picture above are not blue?,¿Cuántas formas en la imagen de arriba no son azules?,%(5760034605052020)%,-1,-1,%(6656020021)%,4,4,%(5760034605052020)%,-1,-1
%(8094380309792744773)%,Try entering 1/20.,Intente ingresar 1/20.,%(163512108431620419)%,1/4,1/4,%(2057883072184751728)%,How many shapes in the picture above are not blue?,¿Cuántas formas en la imagen de arriba no son azules?,%(6272037681056609)%,10,10,%(659498584250337083)%,1/10,1/10,%(-3495060546228936470)%,0.35,0.35,%(667908048168454465)%,"To turn 3/5 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore.","Para convertir 3/5 en una proporción reducida, simplifique la proporción tanto como sea posible hasta que ya no se pueda simplificar.",%(-1455516087721074978)%,"Do you know how to find an equivalent fraction of 12/15 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?","¿Sabes cómo encontrar una fracción equivalente de 12/15 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?"
%(6497270100447420521)%,Enter as percent,Ingrese como porcentaje,%(5261102140459498125)%,n/a,n/a,%(-6365975974972876628)%,(1) What percent of the shapes are yellow?,(1) ¿Qué porcentaje de las formas son amarillas?,%(5760017324)%,-,-,%(-6254882368505103238)%,"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 7, and multiply it by 100 and then divide it by 10, the original denominator: 7*100/10.","Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 7, y multiplicarlo por 100 y luego dividirlo por 10, el denominador original: 7 * 100/10.",%(-8311787327774637527)%,Try entering 35/100.,Intente ingresar 35/100.,%(5261102140459498125)%,n/a,n/a,%(-1736989403731715586)%,"To turn 6/15 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore.","Para convertir 6/15 en una proporción reducida, simplifique la proporción tanto como sea posible hasta que no se pueda simplificar más."
%(5261102140459498125)%,n/a,n/a,%(5760017324)%,-,-,%(-3629988803845537726)%,How many shapes are blue or red?,¿Cuántas formas son azules o rojas?,%(-1973393932438401295)%,The next step is to figure out the total number of shapes that you see in the picture.,El siguiente paso es averiguar el número total de formas que ves en la imagen.,%(-962543404079237411)%,2/5,2/5,%(-3976390536107060670)%,How many shapes are not yellow?,¿Cuántas formas no son amarillas?,%(5760017324)%,-,-,%(2057883072184751728)%,How many shapes in the picture above are not blue?,¿Cuántas formas en la imagen de arriba no son azules?
%(5760017324)%,-,-,%(-1973393932438401295)%,The next step is to figure out the total number of shapes that you see in the picture.,El siguiente paso es averiguar el número total de formas que ves en la imagen.,%(659498584250337083)%,1/10,1/10,%(-3700544859812380482)%,"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator.","Asegúrese de ingresar la proporción no reducida como una fracción, donde el número objetivo es el numerador y el número total es el denominador.",%(5261102140459498125)%,n/a,n/a,%(2057883072184751728)%,How many shapes in the picture above are not blue?,¿Cuántas formas en la imagen de arriba no son azules?,%(-1973393932438401295)%,The next step is to figure out the total number of shapes that you see in the picture.,El siguiente paso es averiguar el número total de formas que ves en la imagen.,%(-1415767141128688616)%,Need more help? Greatest common factor of 3 and 15 is 3.,Necesitas más ayuda? Máximo común divisor de 3 y 15 es 3.
%(-1973393932438401295)%,The next step is to figure out the total number of shapes that you see in the picture.,El siguiente paso es averiguar el número total de formas que ves en la imagen.,%(4687387894118555082)%,simplify(5/20*10),simplificar (5/20 * 10),%(8174016622411890429)%,"When you divide a number by 10, you move the decimal point in that number over to the left one place. If it's a whole number, there is an 'invisible' decimal point to the right of it, like this: ""10.""","Cuando divide un número por 10, mueve el punto decimal en ese número hacia la izquierda un lugar. Si es un número entero, hay un punto decimal 'invisible' a la derecha, como este: ""10"".",%(4356240706487238967)%,How many total shapes do you see here?,¿Cuántas formas totales ves aquí?,%(5760017324)%,-,-,%(-7582257299243418613)%,Try entering 95%.,Intente ingresar el 95%.,%(-3700544859812380482)%,"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator.","Asegúrese de ingresar la proporción no reducida como una fracción, donde el número objetivo es el numerador y el número total es el denominador.",%(5261102140459498125)%,n/a,n/a
%(4356240706487238967)%,How many total shapes do you see here?,¿Cuántas formas totales ves aquí?,%(4356240706487238967)%,How many total shapes do you see here?,¿Cuántas formas totales ves aquí?,%(1289567620941478284)%,0.5,0.5,%(-4245890183017926684)%,Try entering <%= 10/25*100 %>/100.,Intente ingresar <% = 10/25 * 100%> / 100.,%(-1973393932438401295)%,The next step is to figure out the total number of shapes that you see in the picture.,El siguiente paso es averiguar el número total de formas que ves en la imagen.,%(3880017706888142388)%,"If the ratio out 100 is 22.5/100, the percent is its numerator, 22.5.","Si la relación de 100 es 22,5 / 100, el porcentaje es su numerador, 22.5.",%(4356240706487238967)%,How many total shapes do you see here?,¿Cuántas formas totales ves aquí?,%(5760017324)%,-,-
%(7072076374832884833)%,(2) What percent of the shapes are purple?,(2) ¿Qué porcentaje de las formas son moradas?,%(2930802553406016399)%,"Remember one percent (1%) is one out of 100. In the last column, you found the ratio out of 100, <%= 1/20*100 %>/100. The percent representation is just the numerator of this ratio, <%= 1/20*100 %>.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la última columna, encontró la proporción de 100, <% = 1/20 * 100%> / 100. La representación porcentual es solo el numerador de esta relación, <% = 1/20 * 100%>.",%(6272037681056609)%,10,10,%(1031612038521718196)%,Try entering 25.,Intente ingresar 25.,%(4356240706487238967)%,How many total shapes do you see here?,¿Cuántas formas totales ves aquí?,%(5261102140459498125)%,n/a,n/a,%(5417771700589581030)%,Try entering 4/5.,Intente ingresar 4/5.,%(-1973393932438401295)%,The next step is to figure out the total number of shapes that you see in the picture.,El siguiente paso es averiguar el número total de formas que ves en la imagen.
%(2930802553406016399)%,"Remember one percent (1%) is one out of 100. In the last column, you found the ratio out of 100, <%= 1/20*100 %>/100. The percent representation is just the numerator of this ratio, <%= 1/20*100 %>.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la última columna, encontró la proporción de 100, <% = 1/20 * 100%> / 100. La representación porcentual es solo el numerador de esta relación, <% = 1/20 * 100%>.",%(3708668652992479243)%,"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 15, and multiply it by 100 and then divide it by 20, the original denominator: 15*100/20.","Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 15, y multiplicarlo por 100 y luego dividirlo por 20, el denominador original: 15 * 100/20.",%(5760017324)%,-,-,%(-8090376898785526811)%,The next step is to figure out the total number of shapes in the picture.,El siguiente paso es averiguar el número total de formas en la imagen.,%(-4599591944466133800)%,"Try entering <%=divEvaluate(fractionMake(9,10))%>.","Intente ingresar <%=divEvaluate(fractionMake(9,10))%>.",%(5760017324)%,-,-,%(6497270100447420521)%,Enter as percent,Ingrese como porcentaje,%(105387924376433558)%,Try entering 6/15.,Intente ingresar 6/15.
%(659498584251337062)%,1/20,1/20,%(-7323836962247330663)%,How many shapes are yellow?,¿Cuántas formas son amarillas?,%(-1973393932438401295)%,The next step is to figure out the total number of shapes that you see in the picture.,El siguiente paso es averiguar el número total de formas que ves en la imagen.,%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(6656020021)%,4,4,%(-1973393932438401295)%,The next step is to figure out the total number of shapes that you see in the picture.,El siguiente paso es averiguar el número total de formas que ves en la imagen.,%(-8090376898785526811)%,The next step is to figure out the total number of shapes in the picture.,El siguiente paso es averiguar el número total de formas en la imagen.,%(4283198272230312352)%,How many shapes are squares?,¿Cuántas formas son cuadrados?
%(9079226313678893206)%,simplify(100/100*10),simplificar (100/100 * 10),%(-50093584554116449)%,"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 75/100. The percent representation is just the numerator of this ratio, 75.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 75/100. La representación porcentual es solo el numerador de esta razón, 75.",%(6026161346559961305)%,"Do you know how to find an equivalent fraction of 45/50 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?","¿Sabes cómo encontrar una fracción equivalente de 45/50 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?",%(2891356245314067599)%,"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 5, and multiply it by 100 and then divide it by 25, the original denominator: 5*100/25.","Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 5, y multiplicarlo por 100 y luego dividirlo por 25, el denominador original: 5 * 100/25.",%(3054232390872610147)%,simplify(9/10*10),simplificar (9/10 * 10),%(4356240706487238967)%,How many total shapes do you see here?,¿Cuántas formas totales ves aquí?,%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(4356240706487238967)%,How many total shapes do you see here?,¿Cuántas formas totales ves aquí?
%(-3700544859812380482)%,"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator.","Asegúrese de ingresar la proporción no reducida como una fracción, donde el número objetivo es el numerador y el número total es el denominador.",%(-8090376898785526811)%,The next step is to figure out the total number of shapes in the picture.,El siguiente paso es averiguar el número total de formas en la imagen.,%(4356240706487238967)%,How many total shapes do you see here?,¿Cuántas formas totales ves aquí?,%(-4308578720797287970)%,"Try entering <%=fractionsimplify(fractionMake(5,25))%>.","Intente ingresar <%=fractionsimplify(fractionMake(5,25))%>.",%(-3993639146534757752)%,Try entering 90/100.,Intente ingresar 90/100.,%(-10483865724410662)%,(4) What percent of the shapes are not red?,(4) ¿Qué porcentaje de las formas no son rojas?,%(5215427632872202731)%,"To turn 1/5 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore.","Para convertir 1/5 en una proporción reducida, simplifique la proporción tanto como sea posible hasta que ya no se pueda simplificar más.",%(-1933071216548859233)%,"Try entering <%=divEvaluate(fractionMake(9,15))%>.","Intente ingresar <%=divEvaluate(fractionMake(9,15))%>."
%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(4143623372170333806)%,45/50,45/50,%(-6582245299262418731)%,Try entering 80%.,Intente ingresar el 80%.,%(-3700544859812380482)%,"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator.","Asegúrese de ingresar la proporción no reducida como una fracción, donde el número objetivo es el numerador y el número total es el denominador.",%(-5777198487102216206)%,"To work through question 3, you must first find the number of shapes that are purple.","Para resolver la pregunta 3, primero debe encontrar la cantidad de formas que son de color púrpura.",%(-6582245299262418731)%,Try entering 80%.,Intente ingresar el 80%.,%(-3700544859812380482)%,"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator.","Asegúrese de ingresar la proporción no reducida como una fracción, donde el número objetivo es el numerador y el número total es el denominador."
%(-2507884110171089060)%,simplify(20/100*10),simplificar (20/100 * 10),%(5550400391197685714)%,"To work through question 3, you must first find the number of shapes that are blue.","Para resolver la pregunta 3, primero debes encontrar la cantidad de formas que son azules.",%(1289567620941478272)%,0.9,0.9,%(8387754262730084157)%,"Oops! You divided the percent number only by 10. Remember, percents are out of 100, so you should divide them by 100!","¡UPS! Dividió el número porcentual solo por 10. Recuerde, los porcentajes son de 100, ¡así que debe dividirlos entre 100!",%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(-831338882639880563)%,The ratio out of 100 is written as 22.5/100. Please express this value as a decimal.,"La razón de 100 se escribe como 22,5 / 100. Exprese este valor como decimal.",%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto."
%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(1031612038521718196)%,Try entering 25.,Intente ingresar 25.,%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(2338920329613137945)%,Assets/05.png,Assets/05.png,%(-8090376898785526811)%,The next step is to figure out the total number of shapes in the picture.,El siguiente paso es averiguar el número total de formas en la imagen.,%(7578057460137410281)%,"Try entering <%=fractionsimplify(fractionMake(3,5))%>.","Intente ingresar <%=fractionsimplify(fractionMake(3,5))%>.",%(2687420165685025639)%,(3) What percent of the shapes are not purple?,(3) ¿Qué porcentaje de las formas no son moradas?
%(-8172736327874023665)%,Try entering 60/100.,Intente ingresar 60/100.,%(5343420085026060833)%,"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 8/20 to 100.","Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 8/20 a 100.",%(-3993639146534757752)%,Try entering 90/100.,Intente ingresar 90/100.,%(8106116536212854201)%,Try entering 40/100.,Intente ingresar 40/100.,%(-7538229578606087202)%,Please click on the highlighted button.,Haga clic en el botón resaltado.,%(-5166532556208710060)%,"No, this is not correct.","No, esto no es correcto.",%(4572501720407151334)%,How many shapes are yellow or blue?,¿Cuántas formas son amarillas o azules?,%(-6582245299262418731)%,Try entering 80%.,Intente ingresar el 80%.
%(9053783844234138853)%,"Try entering <%=fractionsimplify(fractionMake(1,20))%>.","Intente ingresar <% = fracctionsimplify (transactionMake (1,20))%>.",%(8342698534928034878)%,Assets/02.png,Assets/02.png,%(-2008400884636778973)%,"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 45, and multiply it by 100 and then divide it by 50, the original denominator: 45*100/50.","Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 45, y multiplicarlo por 100 y luego dividirlo por 50, el denominador original: 45 * 100/50.",%(-8172736327874023665)%,Try entering 60/100.,Intente ingresar 60/100.,%(7296021944)%,9,9,%(-1854188762221731823)%,"To turn 9/40 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore.","Para convertir 9/40 en una proporción reducida, simplifique la proporción tanto como sea posible hasta que no se pueda simplificar más.",%(7091719315693132157)%,"One way to find the numerator for the ratio out of 100 is to start with the original numerator, 3, and multiply it by 100 and then divide it by 5, the original denominator: 3*100/5.","Una forma de encontrar el numerador para la razón de 100 es comenzar con el numerador original, 3, y multiplicarlo por 100 y luego dividirlo por 5, el denominador original: 3 * 100/5.",%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado."
%(8387754262730084157)%,"Oops! You divided the percent number only by 10. Remember, percents are out of 100, so you should divide them by 100!","¡UPS! Dividió el número porcentual solo por 10. Recuerde, los porcentajes son de 100, ¡así que debe dividirlos entre 100!",%(9053783844234138853)%,"Try entering <%=fractionsimplify(fractionMake(1,20))%>.","Intente ingresar <% = fracctionsimplify (transactionMake (1,20))%>.",%(-3700544859812380482)%,"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator.","Asegúrese de ingresar la proporción no reducida como una fracción, donde el número objetivo es el numerador y el número total es el denominador.",%(4321702588713686822)%,"Do you know how to find an equivalent fraction of 20/25 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?","¿Sabes cómo encontrar una fracción equivalente de 20/25 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?",%(6337185597956800749)%,simplify(7/10*10),simplificar (7/10 * 10),%(2224425276863960007)%,"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 35/100. The percent representation is just the numerator of this ratio, 35.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 35/100. La representación porcentual es solo el numerador de esta razón, 35.",%(-8172736327874023665)%,Try entering 60/100.,Intente ingresar 60/100.,%(-983137051350927548)%,"If the ratio out 100 is <%= 3/15*100 %>, then the percent is <%= 3/15*100 %> as well.","Si la proporción de 100 es <% = 3/15 * 100%>, entonces el porcentaje también es <% = 3/15 * 100%>."
%(4331415398856474116)%,"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 20/100 to 100.","Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 20/100 a 100.",%(8387754262730084157)%,"Oops! You divided the percent number only by 10. Remember, percents are out of 100, so you should divide them by 100!","¡UPS! Dividió el número porcentual solo por 10. Recuerde, los porcentajes son de 100, ¡así que debe dividirlos entre 100!",%(1858411387932692803)%,Try entering <%= 5/50*100 %>/100.,Intente ingresar <% = 5/50 * 100%> / 100.,%(3417780700679581151)%,Try entering 60%.,Intente ingresar el 60%.,%(6628229368427464607)%,(1) What percent of the shapes are red or blue?,(1) ¿Qué porcentaje de las formas son rojas o azules?,%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(-8978793896237374318)%,Need more help? Greatest common factor of 1 and 5 is 1.,Necesitas más ayuda? Máximo común divisor de 1 y 5 es 1.,%(290914133227331126)%,How many shapes are yellow or green?,¿Cuántas formas son amarillas o verdes?
%(3417780700679581151)%,Try entering 60%.,Intente ingresar el 60%.,%(7168021561)%,8,8,%(-3260828882757539500)%,"Do you know how to find an equivalent fraction of 5/50 that has denominator of 100? You already know the denominator, 100. Then, what would be its numerator?","¿Sabes cómo encontrar una fracción equivalente de 5/50 que tiene un denominador de 100? Ya conoces el denominador, 100. Entonces, ¿Cuál sería su numerador?",%(-962543404098237484)%,20%,20%,%(8387754262730084157)%,"Oops! You divided the percent number only by 10. Remember, percents are out of 100, so you should divide them by 100!","¡UPS! Dividió el número porcentual solo por 10. Recuerde, los porcentajes son de 100, ¡así que debe dividirlos entre 100!",%(8101799909381896370)%,"To express the unreduced ratio as a ratio out of 100, first convert the denominator of 26/40 to 100.","Para expresar la razón no reducida como una razón de 100, primero convierta el denominador de 26/40 a 100.",%(8387754262730084157)%,"Oops! You divided the percent number only by 10. Remember, percents are out of 100, so you should divide them by 100!","¡UPS! Dividió el número porcentual solo por 10. Recuerde, los porcentajes son de 100, ¡así que debe dividirlos entre 100!",%(7296021944)%,9,9
%(-962543404098237484)%,20%,20%,%(-4206836441117694964)%,"If the ratio out 100 is <%= 1/20*100 %>, then the percent is <%= 1/20*100 %> as well.","Si la proporción de 100 es <% = 1/20 * 100%>, entonces el porcentaje también es <% = 1/20 * 100%>.",%(-7538229578606087202)%,Please click on the highlighted button.,"Por favor, haga clic en el botón resaltado.",%(1289567620941478283)%,0.2,0.2,%(-2333795738806324605)%,Try entering 4/10.,Intente ingresar 4/10.,%(7296021944)%,9,9,%(6370154662899293634)%,"To turn 4/5 into a reduced ratio, simplify the ratio as much as possible until it cannot be simplified anymore.","Para convertir 4/5 en una proporción reducida, simplifique la proporción tanto como sea posible hasta que no se pueda simplificar más.",%(-8172736327874023665)%,Try entering 60/100.,Intente ingresar 60/100.
%(8973573439650055005)%,"Remember one percent (1%) is one out of 100. In the previous row, you found the ratio out of 100, 100/100. The percent representation is just the numerator of this ratio, 100.","Recuerde que el uno por ciento (1%) es uno de cada 100. En la fila anterior, encontró la razón de 100, 100/100. La representación porcentual es solo el numerador de esta razón, 100.",%(-1169012967509120366)%,5/20,5/20,%(163512108431620421)%,1/2,1/2,%(-4911522077174266649)%,Try entering 9.,Intente ingresar 9.,%(1289567620941478280)%,0.1,0.1,%(-6984793100913813066)%,19/20,19/20,%(3417780700679581151)%,Try entering 60%.,Intente ingresar el 60%.,%(8387754262730084157)%,"Oops! You divided the percent number only by 10. Remember, percents are out of 100, so you should divide them by 100!","¡UPS! Dividió el número porcentual solo por 10. Recuerde, los porcentajes son de 100, ¡así que debe dividirlos entre 100!"
