Problem Name	01negativeslope	01negativeslopeESP	02negativeslope	02negativeslopeESP	03negativeslope	03negativeslopeESP	04negativeslope	04negativeslopeESP	05negativeslope	05negativeslopeESP	06negativeslope	06negativeslopeESP	07negativeslope	07negativeslopeESP	08negativeslope	08negativeslopeESP	09negativeslope	09negativeslopeESP
%(hintMessage_8_please_enter_highlighted_field)%	"Please enter '<%=unit1 || ""%(xunit)%""%>' in the highlighted field."	"[google]Ingrese '<%=unit1 || ""%(xunit)%""%>' en el campo resaltado."	"Please enter '<%=unit1 || ""%(xunit)%""%>' in the highlighted field."	"[google]Ingrese '<%=unit1 || ""%(xunit)%""%>' en el campo resaltado."	"Please enter '<%=unit1 || ""%(xunit)%""%>' in the highlighted field."	"[google]Ingrese '<%=unit1 || ""%(xunit)%""%>' en el campo resaltado."	"Please enter '<%=unit1 || ""%(xunit)%""%>' in the highlighted field."	"[google]Ingrese '<%=unit1 || ""%(xunit)%""%>' en el campo resaltado."	"Please enter '<%=unit1 || ""%(xunit)%""%>' in the highlighted field."	"[google]Ingrese '<%=unit1 || ""%(xunit)%""%>' en el campo resaltado."	"Please enter '<%=unit1 || ""%(xunit)%""%>' in the highlighted field."	"[google]Ingrese '<%=unit1 || ""%(xunit)%""%>' en el campo resaltado."	"Please enter '<%=unit1 || ""%(xunit)%""%>' in the highlighted field."	"[google]Ingrese '<%=unit1 || ""%(xunit)%""%>' en el campo resaltado."	"Please enter '<%=unit1 || ""%(xunit)%""%>' in the highlighted field."	"[google]Ingrese '<%=unit1 || ""%(xunit)%""%>' en el campo resaltado."	"Please enter '<%=unit1 || ""%(xunit)%""%>' in the highlighted field."	"[google]Ingrese '<%=unit1 || ""%(xunit)%""%>' en el campo resaltado."
%(hintMessage_9_xaxis_enter_independent_quantity)%	The X-axis is where you enter the independent quantity. What would be a good name for the independent quantity?	[google]El eje X es donde ingresas a la cantidad independiente. ¿Cuál sería un buen nombre para la cantidad independiente?	The X-axis is where you enter the independent quantity. What would be a good name for the independent quantity?	[google]El eje X es donde ingresas a la cantidad independiente. ¿Cuál sería un buen nombre para la cantidad independiente?	The X-axis is where you enter the independent quantity. What would be a good name for the independent quantity?	[google]El eje X es donde ingresas a la cantidad independiente. ¿Cuál sería un buen nombre para la cantidad independiente?	The X-axis is where you enter the independent quantity. What would be a good name for the independent quantity?	[google]El eje X es donde ingresas a la cantidad independiente. ¿Cuál sería un buen nombre para la cantidad independiente?	The X-axis is where you enter the independent quantity. What would be a good name for the independent quantity?	[google]El eje X es donde ingresas a la cantidad independiente. ¿Cuál sería un buen nombre para la cantidad independiente?	The X-axis is where you enter the independent quantity. What would be a good name for the independent quantity?	[google]El eje X es donde ingresas a la cantidad independiente. ¿Cuál sería un buen nombre para la cantidad independiente?	The X-axis is where you enter the independent quantity. What would be a good name for the independent quantity?	[google]El eje X es donde ingresas a la cantidad independiente. ¿Cuál sería un buen nombre para la cantidad independiente?	The X-axis is where you enter the independent quantity. What would be a good name for the independent quantity?	[google]El eje X es donde ingresas a la cantidad independiente. ¿Cuál sería un buen nombre para la cantidad independiente?	The X-axis is where you enter the independent quantity. What would be a good name for the independent quantity?	[google]El eje X es donde ingresas a la cantidad independiente. ¿Cuál sería un buen nombre para la cantidad independiente?
%(hintMessage_10_independent_quantity_quantity_already)%	"The independent quantity is the quantity already known. <%=quantity1 ? ""It is the same as what you named the left column."" : ""Read the introduction again. What is the set quantity that is known?""%>"	"[google]La cantidad independiente es la cantidad ya conocida. <%=quantity1 ? ""It is the same as what you named the left column."" : ""Read the introduction again. What is the set quantity that is known?""%>"	"The independent quantity is the quantity already known. <%=quantity1 ? ""It is the same as what you named the left column."" : ""Read the introduction again. What is the set quantity that is known?""%>"	"[google]La cantidad independiente es la cantidad ya conocida. <%=quantity1 ? ""It is the same as what you named the left column."" : ""Read the introduction again. What is the set quantity that is known?""%>"	"The independent quantity is the quantity already known. <%=quantity1 ? ""It is the same as what you named the left column."" : ""Read the introduction again. What is the set quantity that is known?""%>"	"[google]La cantidad independiente es la cantidad ya conocida. <%=quantity1 ? ""It is the same as what you named the left column."" : ""Read the introduction again. What is the set quantity that is known?""%>"	"The independent quantity is the quantity already known. <%=quantity1 ? ""It is the same as what you named the left column."" : ""Read the introduction again. What is the set quantity that is known?""%>"	"[google]La cantidad independiente es la cantidad ya conocida. <%=quantity1 ? ""It is the same as what you named the left column."" : ""Read the introduction again. What is the set quantity that is known?""%>"	"The independent quantity is the quantity already known. <%=quantity1 ? ""It is the same as what you named the left column."" : ""Read the introduction again. What is the set quantity that is known?""%>"	"[google]La cantidad independiente es la cantidad ya conocida. <%=quantity1 ? ""It is the same as what you named the left column."" : ""Read the introduction again. What is the set quantity that is known?""%>"	"The independent quantity is the quantity already known. <%=quantity1 ? ""It is the same as what you named the left column."" : ""Read the introduction again. What is the set quantity that is known?""%>"	"[google]La cantidad independiente es la cantidad ya conocida. <%=quantity1 ? ""It is the same as what you named the left column."" : ""Read the introduction again. What is the set quantity that is known?""%>"	"The independent quantity is the quantity already known. <%=quantity1 ? ""It is the same as what you named the left column."" : ""Read the introduction again. What is the set quantity that is known?""%>"	"[google]La cantidad independiente es la cantidad ya conocida. <%=quantity1 ? ""It is the same as what you named the left column."" : ""Read the introduction again. What is the set quantity that is known?""%>"	"The independent quantity is the quantity already known. <%=quantity1 ? ""It is the same as what you named the left column."" : ""Read the introduction again. What is the set quantity that is known?""%>"	"[google]La cantidad independiente es la cantidad ya conocida. <%=quantity1 ? ""It is the same as what you named the left column."" : ""Read the introduction again. What is the set quantity that is known?""%>"	"The independent quantity is the quantity already known. <%=quantity1 ? ""It is the same as what you named the left column."" : ""Read the introduction again. What is the set quantity that is known?""%>"	"[google]La cantidad independiente es la cantidad ya conocida. <%=quantity1 ? ""It is the same as what you named the left column."" : ""Read the introduction again. What is the set quantity that is known?""%>"
%(hintMessage_11_)%	"<%=quantity1 ? ""Look at what you named the left-column."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on ...""%>"	"[google]<%=quantity1 ? ""Look at what you named the left-column."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on ...""%>"	"<%=quantity1 ? ""Look at what you named the left-column."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on ...""%>"	"[google]<%=quantity1 ? ""Look at what you named the left-column."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on ...""%>"	"<%=quantity1 ? ""Look at what you named the left-column."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on ...""%>"	"[google]<%=quantity1 ? ""Look at what you named the left-column."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on ...""%>"	"<%=quantity1 ? ""Look at what you named the left-column."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on ...""%>"	"[google]<%=quantity1 ? ""Look at what you named the left-column."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on ...""%>"	"<%=quantity1 ? ""Look at what you named the left-column."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on ...""%>"	"[google]<%=quantity1 ? ""Look at what you named the left-column."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on ...""%>"	"<%=quantity1 ? ""Look at what you named the left-column."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on ...""%>"	"[google]<%=quantity1 ? ""Look at what you named the left-column."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on ...""%>"	"<%=quantity1 ? ""Look at what you named the left-column."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on ...""%>"	"[google]<%=quantity1 ? ""Look at what you named the left-column."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on ...""%>"	"<%=quantity1 ? ""Look at what you named the left-column."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on ...""%>"	"[google]<%=quantity1 ? ""Look at what you named the left-column."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on ...""%>"	"<%=quantity1 ? ""Look at what you named the left-column."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on ...""%>"	"[google]<%=quantity1 ? ""Look at what you named the left-column."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on ...""%>"
%(hintMessage_12_)%	"<%=quantity1 ? ""You named the X-axis '"" + quantity1 + ""'."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on %(xlabel)%.""%>"	"[google]<%=quantity1 ? ""You named the X-axis '"" + quantity1 + ""'."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on %(xlabel)%.""%>"	"<%=quantity1 ? ""You named the X-axis '"" + quantity1 + ""'."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on %(xlabel)%.""%>"	"[google]<%=quantity1 ? ""You named the X-axis '"" + quantity1 + ""'."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on %(xlabel)%.""%>"	"<%=quantity1 ? ""You named the X-axis '"" + quantity1 + ""'."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on %(xlabel)%.""%>"	"[google]<%=quantity1 ? ""You named the X-axis '"" + quantity1 + ""'."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on %(xlabel)%.""%>"	"<%=quantity1 ? ""You named the X-axis '"" + quantity1 + ""'."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on %(xlabel)%.""%>"	"[google]<%=quantity1 ? ""You named the X-axis '"" + quantity1 + ""'."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on %(xlabel)%.""%>"	"<%=quantity1 ? ""You named the X-axis '"" + quantity1 + ""'."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on %(xlabel)%.""%>"	"[google]<%=quantity1 ? ""You named the X-axis '"" + quantity1 + ""'."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on %(xlabel)%.""%>"	"<%=quantity1 ? ""You named the X-axis '"" + quantity1 + ""'."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on %(xlabel)%.""%>"	"[google]<%=quantity1 ? ""You named the X-axis '"" + quantity1 + ""'."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on %(xlabel)%.""%>"	"<%=quantity1 ? ""You named the X-axis '"" + quantity1 + ""'."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on %(xlabel)%.""%>"	"[google]<%=quantity1 ? ""You named the X-axis '"" + quantity1 + ""'."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on %(xlabel)%.""%>"	"<%=quantity1 ? ""You named the X-axis '"" + quantity1 + ""'."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on %(xlabel)%.""%>"	"[google]<%=quantity1 ? ""You named the X-axis '"" + quantity1 + ""'."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on %(xlabel)%.""%>"	"<%=quantity1 ? ""You named the X-axis '"" + quantity1 + ""'."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on %(xlabel)%.""%>"	"[google]<%=quantity1 ? ""You named the X-axis '"" + quantity1 + ""'."" : ""The dependent quantity depends on the independent quantity. In this case: %(ylabel)% depends on %(xlabel)%.""%>"
%(hintMessage_13_please_enter_highlighted_field)%	"Please enter '<%=quantity1 || ""%(xlabel)%""%>' in the highlighted field."	"[google]Ingrese '<%=quantity1 || ""%(xlabel)%""%>' en el campo resaltado."	"Please enter '<%=quantity1 || ""%(xlabel)%""%>' in the highlighted field."	"[google]Ingrese '<%=quantity1 || ""%(xlabel)%""%>' en el campo resaltado."	"Please enter '<%=quantity1 || ""%(xlabel)%""%>' in the highlighted field."	"[google]Ingrese '<%=quantity1 || ""%(xlabel)%""%>' en el campo resaltado."	"Please enter '<%=quantity1 || ""%(xlabel)%""%>' in the highlighted field."	"[google]Ingrese '<%=quantity1 || ""%(xlabel)%""%>' en el campo resaltado."	"Please enter '<%=quantity1 || ""%(xlabel)%""%>' in the highlighted field."	"[google]Ingrese '<%=quantity1 || ""%(xlabel)%""%>' en el campo resaltado."	"Please enter '<%=quantity1 || ""%(xlabel)%""%>' in the highlighted field."	"[google]Ingrese '<%=quantity1 || ""%(xlabel)%""%>' en el campo resaltado."	"Please enter '<%=quantity1 || ""%(xlabel)%""%>' in the highlighted field."	"[google]Ingrese '<%=quantity1 || ""%(xlabel)%""%>' en el campo resaltado."	"Please enter '<%=quantity1 || ""%(xlabel)%""%>' in the highlighted field."	"[google]Ingrese '<%=quantity1 || ""%(xlabel)%""%>' en el campo resaltado."	"Please enter '<%=quantity1 || ""%(xlabel)%""%>' in the highlighted field."	"[google]Ingrese '<%=quantity1 || ""%(xlabel)%""%>' en el campo resaltado."
%(hintMessage_14_please_provide_answer_1)%	Please provide your answer '-1' in the highlighted element.	Por favor, proporcione su respuesta '-1' en el elemento resaltado.	Please provide your answer '-1' in the highlighted element.	Por favor, proporcione su respuesta '-1' en el elemento resaltado.	Please provide your answer '-1' in the highlighted element.	Por favor, proporcione su respuesta '-1' en el elemento resaltado.	Please provide your answer '-1' in the highlighted element.	Por favor, proporcione su respuesta '-1' en el elemento resaltado.	Please provide your answer '-1' in the highlighted element.	Por favor, proporcione su respuesta '-1' en el elemento resaltado.	Please provide your answer '-1' in the highlighted element.	Por favor, proporcione su respuesta '-1' en el elemento resaltado.	Please provide your answer '-1' in the highlighted element.	Por favor, proporcione su respuesta '-1' en el elemento resaltado.	Please provide your answer '-1' in the highlighted element.	Por favor, proporcione su respuesta '-1' en el elemento resaltado.	Please provide your answer '-1' in the highlighted element.	Por favor, proporcione su respuesta '-1' en el elemento resaltado.
%(hintMessage_18_please_provide_answer_pointoutofbounds)%	Please provide your answer 'PointOutOfBounds' in the highlighted element.	Por favor, proporcione su respuesta 'PointOutOfBounds' en el elemento resaltado.	Please provide your answer 'PointOutOfBounds' in the highlighted element.	Por favor, proporcione su respuesta 'PointOutOfBounds' en el elemento resaltado.	Please provide your answer 'PointOutOfBounds' in the highlighted element.	Por favor, proporcione su respuesta 'PointOutOfBounds' en el elemento resaltado.	Please provide your answer 'PointOutOfBounds' in the highlighted element.	Por favor, proporcione su respuesta 'PointOutOfBounds' en el elemento resaltado.	Please provide your answer 'PointOutOfBounds' in the highlighted element.	Por favor, proporcione su respuesta 'PointOutOfBounds' en el elemento resaltado.	Please provide your answer 'PointOutOfBounds' in the highlighted element.	Por favor, proporcione su respuesta 'PointOutOfBounds' en el elemento resaltado.	Please provide your answer 'PointOutOfBounds' in the highlighted element.	Por favor, proporcione su respuesta 'PointOutOfBounds' en el elemento resaltado.	Please provide your answer 'PointOutOfBounds' in the highlighted element.	Por favor, proporcione su respuesta 'PointOutOfBounds' en el elemento resaltado.	Please provide your answer 'PointOutOfBounds' in the highlighted element.	Por favor, proporcione su respuesta 'PointOutOfBounds' en el elemento resaltado.
%(hintMessage_29_please_click_highlighted_button)%	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.	Please click on the highlighted button.	Por favor, haga clic en el botón resaltado.
%(hintMessage_34_look_fifth_question_q5)%	"Look at the fifth question: ""After how many minutes are you in front of the line?"" What is the <%=quantity2%> here?"	"Mira la quinta pregunta: ""¿Después de cuántos minutos estás frente a la línea?"" ¿Cuál es la <% = cantidad2%> aquí?"	"Look at the fifth question: ""How long does it take to go from the top all the way to the 1st floor?"" What is the <%=quantity2%> here?"	"Mire la quinta pregunta: ""¿Cuánto tiempo se tarda en ir desde la parte superior hasta el primer piso?"" ¿Cuál es la <% = cantidad2%> aquí?"	"Look at the fifth question: ""After how many months will his debt be payed off?"" What is the <%=quantity2%> here?"	"Mire la quinta pregunta: ""¿Después de cuántos meses se saldará su deuda?"" ¿Cuál es la <% = cantidad 2%> aquí?"	"Look at the fifth question: ""You cancel your contract and get no more new messages, but you can still send texts until you've used them all. When will you have depleted your 800 texts?"" What is the <%=quantity2%> here?"	"Mire la quinta pregunta: ""Usted cancela su contrato y no recibe más mensajes nuevos, pero aún puede enviar mensajes de texto hasta que los haya usado todos. ¿Cuándo habrá agotado sus 800 mensajes de texto?"" ¿Cuál es la <% = cantidad2%> aquí?"	"Look at the fifth question: ""Jim decides he needs 348 workers. How many machines does he need to buy?"" What is the <%=quantity2%> here?"	"[google]Mire la quinta pregunta: ""Jim decide que necesita 348 trabajadores. ¿Cuántas máquinas necesita comprar?"" ¿Cuál es el <%=quantity2%> aquí?"	"Look at the fifth question: ""In the summer, the oak had 3720 leafs. How many days ago did the oak last have 3720 leafs?"" What is the <%=quantity2%> here?"	"Mire la quinta pregunta: ""En el verano, el roble tenía 3720 hojas. ¿Cuántos días hace que el roble tenía 3720 hojas por última vez?"" ¿Cuál es la <% = cantidad2%> aquí?"	"Look at the fifth question: ""How many people can come by before you run out of fruit?"" What is the <%=quantity2%> here?"	"Mira la quinta pregunta: ""¿Cuántas personas pueden pasar antes de que te quedes sin fruta?"" ¿Cuál es la <% = cantidad2%> aquí?"	"Look at the fifth question: ""The elevator finally comes to a halt at -875 feet. How many seconds has the spy been in the elevator?"" What is the <%=quantity2%> here?"	"[google]Mire la quinta pregunta: ""El ascensor finalmente se detiene a -875 pies. ¿Cuántos segundos ha estado en el ascensor?"" ¿Cuál es el <%=quantity2%> aquí?"	"Look at the fifth question: ""Assume this trend continues in the future. How many years from 2006 will the number of letters sent be only 1.1 billion?"" What is the <%=quantity2%> here?"	"[google]Mire la quinta pregunta: ""Suponga que esta tendencia continúa en el futuro. ¿Cuántos años a partir de 2006 será el número de cartas enviadas solo 1.100 millones?"" ¿Cuál es el <%=quantity2%> aquí?"
%(hintMessage_35_point5y)%	The <%=quantity2%> is 0 <%=unit2%>.	El <% = cantidad 2%> es 0 <% = unidad 2%>.	The <%=quantity2%> is 1 <%=unit2%>.	La <% = cantidad 2%> es 1 <% = unidad 2%>.	The <%=quantity2%> is 0 <%=unit2%>.	El <% = cantidad 2%> es 0 <% = unidad 2%>.	The <%=quantity2%> is 0 <%=unit2%>.	El <% = cantidad 2%> es 0 <% = unidad 2%>.	The <%=quantity2%> is 348 <%=unit2%>.	La <% = cantidad 2%> es 348 <% = unidad 2%>.	The <%=quantity2%> is 3720 <%=unit2%>.	La <% = cantidad 2%> es 3720 <% = unidad 2%>.	The <%=quantity2%> is 0 <%=unit2%>.	El <% = cantidad 2%> es 0 <% = unidad 2%>.	The <%=quantity2%> is -875 <%=unit2%>.	La <% = cantidad 2%> es -875 <% = unidad 2%>.	The <%=quantity2%> is 1.1 <%=unit2%>.	La <% = cantidad 2%> es 1.1 <% = unidad 2%>.
%(hintMessage_36_please_enter_point5y_highlighted)%	Please enter '0' in the highlighted field.	Por favor, ingrese '0' en el campo resaltado.	Please enter '1' in the highlighted field.	Por favor ingrese '1' en el campo resaltado.	Please enter '0' in the highlighted field.	Por favor, ingrese '0' en el campo resaltado.	Please enter '0' in the highlighted field.	Por favor, ingrese '0' en el campo resaltado.	Please enter '348' in the highlighted field.	Por favor, ingrese '348' en el campo resaltado.	Please enter '3720' in the highlighted field.	Por favor, ingrese '3720' en el campo resaltado.	Please enter '0' in the highlighted field.	Por favor, ingrese '0' en el campo resaltado.	Please enter '-875' in the highlighted field.	Por favor, ingrese '-875' en el campo resaltado.	Please enter '1.1' in the highlighted field.	Por favor, ingrese '1.1' en el campo resaltado.
%(hintMessage_37_placed_point_fourth_question)%	Now that you placed a point for the fourth question, look-up what its X-value is to find the <%=quantity1%>.	[google]Ahora que colocó un punto para la cuarta pregunta, busque cuál es su valor X para encontrar el <%=quantity1%>.	Now that you placed a point for the fourth question, look-up what its X-value is to find the <%=quantity1%>.	[google]Ahora que colocó un punto para la cuarta pregunta, busque cuál es su valor X para encontrar el <%=quantity1%>.	Now that you placed a point for the fourth question, look-up what its X-value is to find the <%=quantity1%>.	[google]Ahora que colocó un punto para la cuarta pregunta, busque cuál es su valor X para encontrar el <%=quantity1%>.	Now that you placed a point for the fourth question, look-up what its X-value is to find the <%=quantity1%>.	[google]Ahora que colocó un punto para la cuarta pregunta, busque cuál es su valor X para encontrar el <%=quantity1%>.	Now that you placed a point for the fourth question, look-up what its X-value is to find the <%=quantity1%>.	[google]Ahora que colocó un punto para la cuarta pregunta, busque cuál es su valor X para encontrar el <%=quantity1%>.	Now that you placed a point for the fourth question, look-up what its X-value is to find the <%=quantity1%>.	[google]Ahora que colocó un punto para la cuarta pregunta, busque cuál es su valor X para encontrar el <%=quantity1%>.	Now that you placed a point for the fourth question, look-up what its X-value is to find the <%=quantity1%>.	[google]Ahora que colocó un punto para la cuarta pregunta, busque cuál es su valor X para encontrar el <%=quantity1%>.	Now that you placed a point for the fourth question, look-up what its X-value is to find the <%=quantity1%>.	[google]Ahora que colocó un punto para la cuarta pregunta, busque cuál es su valor X para encontrar el <%=quantity1%>.	Now that you placed a point for the fourth question, look-up what its X-value is to find the <%=quantity1%>.	[google]Ahora que colocó un punto para la cuarta pregunta, busque cuál es su valor X para encontrar el <%=quantity1%>.
%(hintMessage_38_hover_mouse_point_see)%	Hover your mouse over the point to see the coordinates.	Pase el mouse sobre el punto para ver las coordenadas.	Hover your mouse over the point to see the coordinates.	Pase el mouse sobre el punto para ver las coordenadas.	Hover your mouse over the point to see the coordinates.	Pase el mouse sobre el punto para ver las coordenadas.	Hover your mouse over the point to see the coordinates.	Pase el mouse sobre el punto para ver las coordenadas.	Hover your mouse over the point to see the coordinates.	Pase el mouse sobre el punto para ver las coordenadas.	Hover your mouse over the point to see the coordinates.	Pase el mouse sobre el punto para ver las coordenadas.	Hover your mouse over the point to see the coordinates.	Pase el mouse sobre el punto para ver las coordenadas.	Hover your mouse over the point to see the coordinates.	Pase el mouse sobre el punto para ver las coordenadas.	Hover your mouse over the point to see the coordinates.	Pase el mouse sobre el punto para ver las coordenadas.
%(hintMessage_39_point4x)%	The <%=quantity1%> is at 3 <%=unit1%>.	La <% = cantidad 1%> está en 3 <% = unidad 1%>.	The <%=quantity1%> is at 25 <%=unit1%>.	La <% = cantidad 1%> está al 25 <% = unidad 1%>.	The <%=quantity1%> is at 17 <%=unit1%>.	La <% = cantidad 1%> está en 17 <% = unidad 1%>.	The <%=quantity1%> is at 20 <%=unit1%>.	La <% = cantidad 1%> está en 20 <% = unidad 1%>.	The <%=quantity1%> is at 75 <%=unit1%>.	La <% = cantidad 1%> está en 75 <% = unidad 1%>.	The <%=quantity1%> is at 25 <%=unit1%>.	La <% = cantidad 1%> está al 25 <% = unidad 1%>.	The <%=quantity1%> is at 25 <%=unit1%>.	La <% = cantidad 1%> está al 25 <% = unidad 1%>.	The <%=quantity1%> is at 48 <%=unit1%>.	La <% = cantidad 1%> está en 48 <% = unidad 1%>.	The <%=quantity1%> is at -2 <%=unit1%>.	La <% = cantidad 1%> está en -2 <% = unidad 1%>.
%(hintMessage_40_please_enter_point4x_highlighted)%	Please enter '3' in the highlighted field.	Por favor, ingrese '3' en el campo resaltado.	Please enter '25' in the highlighted field.	Por favor, ingrese '25' en el campo resaltado.	Please enter '17' in the highlighted field.	Por favor, ingrese '17' en el campo resaltado.	Please enter '20' in the highlighted field.	Por favor, ingrese '20' en el campo resaltado.	Please enter '75' in the highlighted field.	Por favor, ingrese '75' en el campo resaltado.	Please enter '25' in the highlighted field.	Por favor, ingrese '25' en el campo resaltado.	Please enter '25' in the highlighted field.	Por favor, ingrese '25' en el campo resaltado.	Please enter '48' in the highlighted field.	Por favor, ingrese '48' en el campo resaltado.	Please enter '-2' in the highlighted field.	Por favor, ingrese '-2' en el campo resaltado.
%(hintMessage_45_please_provide_answer_curveneedsmorepoints)%	Please provide your answer 'curveNeedsMorePoints' in the highlighted element.	Por favor, proporcione su respuesta 'curveNeedsMorePoints' en el elemento resaltado.	Please provide your answer 'curveNeedsMorePoints' in the highlighted element.	Por favor, proporcione su respuesta 'curveNeedsMorePoints' en el elemento resaltado.	Please provide your answer 'curveNeedsMorePoints' in the highlighted element.	Por favor, proporcione su respuesta 'curveNeedsMorePoints' en el elemento resaltado.	Please provide your answer 'curveNeedsMorePoints' in the highlighted element.	Por favor, proporcione su respuesta 'curveNeedsMorePoints' en el elemento resaltado.	Please provide your answer 'curveNeedsMorePoints' in the highlighted element.	Por favor, proporcione su respuesta 'curveNeedsMorePoints' en el elemento resaltado.	Please provide your answer 'curveNeedsMorePoints' in the highlighted element.	Por favor, proporcione su respuesta 'curveNeedsMorePoints' en el elemento resaltado.	Please provide your answer 'curveNeedsMorePoints' in the highlighted element.	Por favor, proporcione su respuesta 'curveNeedsMorePoints' en el elemento resaltado.	Please provide your answer 'curveNeedsMorePoints' in the highlighted element.	Por favor, proporcione su respuesta 'curveNeedsMorePoints' en el elemento resaltado.	Please provide your answer 'curveNeedsMorePoints' in the highlighted element.	Por favor, proporcione su respuesta 'curveNeedsMorePoints' en el elemento resaltado.
%(hintMessage_47_highlighted_box_enter_equation)%	This highlighted box is where you enter the equation of the line you've drawn before.	Este cuadro resaltado es donde ingresa la ecuación de la línea que ha dibujado antes.	This highlighted box is where you enter the equation of the line you've drawn before.	Este cuadro resaltado es donde ingresa la ecuación de la línea que ha dibujado antes.	This highlighted box is where you enter the equation of the line you've drawn before.	Este cuadro resaltado es donde ingresa la ecuación de la línea que ha dibujado antes.	This highlighted box is where you enter the equation of the line you've drawn before.	Este cuadro resaltado es donde ingresa la ecuación de la línea que ha dibujado antes.	This highlighted box is where you enter the equation of the line you've drawn before.	Este cuadro resaltado es donde ingresa la ecuación de la línea que ha dibujado antes.	This highlighted box is where you enter the equation of the line you've drawn before.	Este cuadro resaltado es donde ingresa la ecuación de la línea que ha dibujado antes.	This highlighted box is where you enter the equation of the line you've drawn before.	Este cuadro resaltado es donde ingresa la ecuación de la línea que ha dibujado antes.	This highlighted box is where you enter the equation of the line you've drawn before.	Este cuadro resaltado es donde ingresa la ecuación de la línea que ha dibujado antes.	This highlighted box is where you enter the equation of the line you've drawn before.	Este cuadro resaltado es donde ingresa la ecuación de la línea que ha dibujado antes.
%(hintMessage_48_first_part_given_please)%	The first part is given: 'y ='. Please fill in the equation after the '=' sign.	[google]La primera parte se da: 'y ='. Complete la ecuación después del signo '='.	The first part is given: 'y ='. Please fill in the equation after the '=' sign.	[google]La primera parte se da: 'y ='. Complete la ecuación después del signo '='.	The first part is given: 'y ='. Please fill in the equation after the '=' sign.	[google]La primera parte se da: 'y ='. Complete la ecuación después del signo '='.	The first part is given: 'y ='. Please fill in the equation after the '=' sign.	[google]La primera parte se da: 'y ='. Complete la ecuación después del signo '='.	The first part is given: 'y ='. Please fill in the equation after the '=' sign.	[google]La primera parte se da: 'y ='. Complete la ecuación después del signo '='.	The first part is given: 'y ='. Please fill in the equation after the '=' sign.	[google]La primera parte se da: 'y ='. Complete la ecuación después del signo '='.	The first part is given: 'y ='. Please fill in the equation after the '=' sign.	[google]La primera parte se da: 'y ='. Complete la ecuación después del signo '='.	The first part is given: 'y ='. Please fill in the equation after the '=' sign.	[google]La primera parte se da: 'y ='. Complete la ecuación después del signo '='.	The first part is given: 'y ='. Please fill in the equation after the '=' sign.	[google]La primera parte se da: 'y ='. Complete la ecuación después del signo '='.
